상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,lon,lat,총_유동인구_수,남성_유동인구_수_ratio,연령대_10_유동인구_수_ratio,연령대_20_유동인구_수_ratio,연령대_30_유동인구_수_ratio,연령대_40_유동인구_수_ratio,연령대_50_유동인구_수_ratio,시간대_00_06_유동인구_수_ratio,시간대_06_11_유동인구_수_ratio,시간대_11_14_유동인구_수_ratio,시간대_14_17_유동인구_수_ratio,시간대_17_21_유동인구_수_ratio,월요일_유동인구_수_ratio,화요일_유동인구_수_ratio,수요일_유동인구_수_ratio,목요일_유동인구_수_ratio,금요일_유동인구_수_ratio,토요일_유동인구_수_ratio
A,골목상권,3110506,연희임광아파트,193454,451816,11410,서대문구,11410615,연희동,25732,126.92590641707552,37.56585683690045,200415.0,0.458284061,0.081036849,0.249736796,0.213392211,0.160980964,0.122964848,0.200010977,0.211187841,0.135299929,0.140788568,0.192102348,0.138387155,0.139559716,0.138496926,0.139814186,0.141400886,0.149244571
A,골목상권,3110483,연천초등학교,193551,457851,11380,은평구,11380520,불광1동,67748,126.92695122086197,37.62023233726391,614060.0,0.465632893,0.137656154,0.129686235,0.138939418,0.143813542,0.152620514,0.340299548,0.207405152,0.092960123,0.087268487,0.13139454,0.142705925,0.142091978,0.140800573,0.140057975,0.140458587,0.145150311
A,골목상권,3110484,역촌역 3번,193559,456301,11380,은평구,11380510,녹번동,191591,126.92705548022388,37.60626707827456,1499630.0,0.435246318,0.117669613,0.139695698,0.160632849,0.144887642,0.161948506,0.302707334,0.20724312,0.103871622,0.10043144,0.149580897,0.140336616,0.13951308,0.137756647,0.139092309,0.139493075,0.148045184
A,골목상권,3110470,신진과학기술고등학교,192849,455298,11380,은평구,11380580,응암1동,34929,126.91902451113432,37.59722490823317,622242.0,0.428750504,0.202865431,0.108272465,0.171570684,0.183593279,0.128013885,0.279244865,0.201330342,0.109416533,0.109426175,0.165815449,0.141160513,0.140162509,0.13936057,0.139142006,0.137706873,0.147799409
A,골목상권,3110471,응암동우체국,192874,454645,11380,은평구,11380590,응암2동,123744,126.91931395497885,37.59134163214491,1463740.0,0.447710353,0.175589687,0.096437077,0.16152505,0.200052332,0.136823293,0.335372627,0.20977604,0.091155409,0.08585871,0.135607231,0.141162855,0.142910431,0.140225532,0.141070626,0.139929031,0.143769189
A,골목상권,3110517,서대문소방서,194394,452679,11410,서대문구,11410615,연희동,63408,126.93653958895476,37.57363862085193,183638.0,0.442634734,0.154266297,0.264957498,0.116147617,0.150024233,0.138125759,0.227842035,0.226622231,0.134679475,0.1306661,0.165272605,0.146096417,0.146940465,0.14554098,0.143874667,0.139692549,0.135989632
A,골목상권,3110518,서대문구청,194404,453061,11410,서대문구,11410615,연희동,49879,126.93664987416368,37.57708047890787,21925.0,0.430838692,0.139469123,0.171440299,0.144805254,0.169296725,0.156754538,0.285368968,0.212031378,0.111146584,0.111785095,0.149411657,0.141475873,0.144714038,0.147222476,0.144577214,0.142114385,0.136687038
A,골목상권,3110491,불광중학교,194346,458292,11380,은평구,11380530,불광2동,300653,126.93595288951646,37.6242109202581,62218.0,0.437751133,0.189677896,0.095939951,0.10826797,0.148916677,0.165664781,0.310188534,0.215037691,0.102496102,0.095649099,0.143819213,0.134772406,0.140799794,0.137279799,0.141169474,0.143789379,0.151504436
A,골목상권,3110492,하나고등학교,194584,460074,11380,은평구,11380690,진관동,133323,126.93863569243504,37.6402679121759,11839.0,0.450375876,0.206520821,0.150772869,0.169524453,0.16884872,0.130500887,0.169242463,0.212228697,0.143484503,0.157588042,0.201418799,0.14250718,0.140479811,0.14022639,0.137100862,0.138367968,0.150278763
A,골목상권,3110493,북가좌초등학교,191669,452953,11410,서대문구,11410710,북가좌1동,44322,126.90568926896994,37.576086730512685,290311.0,0.468067004,0.185620987,0.112640883,0.126257268,0.172369726,0.161326435,0.201597597,0.186734226,0.113126957,0.119351316,0.218362377,0.139267409,0.140924247,0.140638348,0.141478823,0.141155033,0.145037064
